zip_code,median_family_income
02110,196518
02199,146786
02210,223411
02109,162045
02116,134875
02108,153618
02114,169107
02111,88333
02129,98445
02467,148396
02113,112589
02132,110219
02118,49090
02130,95426
02127,68110
02135,62602
02131,70598
02136,74734
02134,49355
02128,49470
02122,50246
02124,55031
02125,44397
02163,91190
02115,50303
02126,52774
02215,72583
02119,35311
02121,35439
02120,29583
