street_number,street_name,city,zip_code,category,building_type,living_area,total_value,year_built,price_per_sft
80,WORDSWORTH ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1112,535300,1910,481
78,WORDSWORTH ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1164,478900,1910,411
62,WORDSWORTH ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1400,490400,1930,350
52,WORDSWORTH ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1890,665400,1900,352
18,WORDSWORTH ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1350,448200,1910,332
81,ADDISON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,980,463900,1900,473
125,ADDISON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1600,524300,1920,327
131,ADDISON ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,2019,605500,1915,299
90,BYRON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1822,609700,1900,334
76,BYRON ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1974,763800,1900,386
48,BYRON ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,2204,810600,1890,367
29,WORDSWORTH ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1496,568400,1900,379
31,WORDSWORTH ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1518,525300,1900,346
754,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Rn - Ranch,1364,608500,1910,446
742,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1345,563100,1910,418
728,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2693,732100,1910,271
726,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2880,759000,2007,263
15,MOORE ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,2004,553500,1900,276
3,MOORE ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1140,469500,1910,411
1,MOORE ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1405,541200,1910,385
119,WM F MCCLELLAN HW,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2123,693100,1975,326
121,WM F MCCLELLAN HW,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1644,566800,1847,344
45,BYRON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1632,627800,1910,384
53,BYRON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1232,504200,1910,409
59,BYRON ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,840,431900,1910,513
61,BYRON ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1762,604500,1910,342
63,BYRON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2991,1059700,2016,354
71,BYRON ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1062,582000,1910,547
83,BYRON ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1289,529400,1910,410
87,BYRON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1338,636200,1910,475
97,BYRON ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1020,615300,1910,603
702,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1098,433100,1910,394
694,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1917,648200,1910,338
686,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Bw - Bungalow,2081,553900,1910,266
682,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1238,515200,1900,416
19,CHAUCER ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1033,364900,1910,353
37,CHAUCER ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1406,610600,1910,434
43,CHAUCER ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1010,564400,1910,558
47,CHAUCER ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1187,631200,1910,531
53,CHAUCER ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1059,480600,1910,453
57,CHAUCER ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1326,292100,1960,220
602,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1090,459200,1890,421
544,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1013,493800,1900,487
532,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1610,605300,1900,375
669,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1921,518200,1900,269
677,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1341,542000,1900,404
689,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1806,595400,1900,329
516,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,920,403000,1900,438
512,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1263,582300,1890,460
510,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,894,506800,1900,566
504,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,921,533300,1910,578
629,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1672,480000,1890,287
637,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,965,446500,1910,462
639,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1800,508400,1910,282
