street_number,street_name,city,zip_code,category,building_type,living_area,total_value,year_built,price_per_sft
58,ST ROSE ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1776,1081300,1910,608
54,ST ROSE ST,Jamaica Plain,2130,Single Fam Dwelling,Bw - Bungalow,1977,860000,1925,434
42,ST ROSE ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1996,938100,1888,469
115,ST ROSE ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1582,900200,1920,569
131,ST ROSE ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,3936,1827200,1910,464
260,ARBORWAY ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1965,1237500,2000,629
246,ARBORWAY ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,2807,1528100,2004,544
242,ARBORWAY ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1492,542200,1905,363
8,JAMAICA PL,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1476,697900,1900,472
1,JAMAICA PL,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,2321,874300,1900,376
61,JAMAICA ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1561,779800,1886,499
63,JAMAICA ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1680,978800,1900,582
65,JAMAICA ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1496,771600,1905,515
71,JAMAICA ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1885,777400,1900,412
75,JAMAICA ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,2306,1128100,1890,489
77,JAMAICA ST,Jamaica Plain,2130,Single Fam Dwelling,Rn - Ranch,1248,739700,1890,592
224,ARBORWAY ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,2130,1178500,1920,553
60,ST JOSEPH ST,Jamaica Plain,2130,Single Fam Dwelling,Cp - Cape,1445,1026800,1950,710
43,JAMAICA ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1733,873400,1880,503
45,JAMAICA ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,2078,1104300,1880,531
53,JAMAICA ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,2002,1065100,1880,531
55,JAMAICA ST,Jamaica Plain,2130,Single Fam Dwelling,Cp - Cape,1197,762600,1859,636
24,JAMAICA ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1324,859800,1880,649
26,JAMAICA ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1630,1079100,1905,661
102,JAMAICA ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1312,947800,1900,722
100,JAMAICA ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1209,667200,1900,551
94,JAMAICA ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1218,672600,1890,552
90,JAMAICA ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1056,780900,1890,739
86,JAMAICA ST,Jamaica Plain,2130,Single Fam Dwelling,Cv - Conventional,1394,784300,1900,562
82,JAMAICA ST,Jamaica Plain,2130,Single Fam Dwelling,Cv - Conventional,1860,877600,1900,471
72,JAMAICA ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1344,905500,1880,673
64,JAMAICA ST,Jamaica Plain,2130,Single Fam Dwelling,Cv - Conventional,1428,880300,1900,616
58,JAMAICA ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1767,1055300,1894,597
56,JAMAICA ST,Jamaica Plain,2130,Single Fam Dwelling,Cv - Conventional,2154,1174000,1870,545
44,JAMAICA ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1408,924000,1900,656
40,JAMAICA ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1530,837200,1900,547
34,JAMAICA ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1686,961800,1899,570
32,JAMAICA ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1959,1063200,1900,542
30,JAMAICA ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1607,809200,1860,503
28,JAMAICA ST,Jamaica Plain,2130,Single Fam Dwelling,Cp - Cape,1116,761200,1880,681
45,GOLDSMITH ST,Jamaica Plain,2130,Single Fam Dwelling,Re - Row End,864,557600,1960,645
47,GOLDSMITH ST,Jamaica Plain,2130,Single Fam Dwelling,Rm - Row Middle,864,516200,1960,597
34,CUSTER ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1129,819200,1920,725
73,WOODLAWN ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1894,772900,2002,407
83,WOODLAWN ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,2413,1009200,1896,418
80,WOODLAWN ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1363,761300,1890,558
62,WOODLAWN ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,2304,1166200,2004,506
24,WOODLAWN ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1632,948000,2004,580
86,TOWER ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1488,703000,1900,472
80,TOWER ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1760,1042400,2011,592
74,TOWER ST,Jamaica Plain,2130,Single Fam Dwelling,Cv - Conventional,2138,1182700,2019,553
48,TOWER ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,2146,839800,1900,391
46,TOWER ST,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,2554,1136600,1900,444
29,ORCHARDHILL RD,Jamaica Plain,2130,Single Fam Dwelling,Rn - Ranch,864,592400,1960,685
33,ORCHARDHILL RD,Jamaica Plain,2130,Single Fam Dwelling,Rn - Ranch,864,567500,1960,656
37,ORCHARDHILL RD,Jamaica Plain,2130,Single Fam Dwelling,Rn - Ranch,864,640300,1962,741
45,ORCHARDHILL RD,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,2659,1076400,1900,404
49,ORCHARDHILL RD,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,2062,1072800,1950,520
55,ORCHARDHILL RD,Jamaica Plain,2130,Single Fam Dwelling,Cv - Conventional,2507,991100,1930,395
59,ORCHARDHILL RD,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,2423,888400,1930,366
63,ORCHARDHILL RD,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,2173,957000,1928,440
67,ORCHARDHILL RD,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1838,779100,1929,423
71,ORCHARDHILL RD,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,2040,751400,1930,368
75,ORCHARDHILL RD,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,2349,942900,1933,401
1,LENNOCO RD,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,2430,1125000,1910,462
5,LENNOCO RD,Jamaica Plain,2130,Single Fam Dwelling,Bw - Bungalow,1526,649700,1932,425
9,LENNOCO RD,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1548,689900,1929,445
8,LENNOCO RD,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1944,1034500,2002,532
6,LENNOCO RD,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1544,839300,1910,543
74,ORCHARDHILL RD,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1696,763900,1910,450
72,ORCHARDHILL RD,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1739,876000,1910,503
7,BREMEN TE,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1720,805100,1928,468
6,BREMEN TE,Jamaica Plain,2130,Single Fam Dwelling,Cl - Colonial,1448,921300,1928,636
18,WARREN PL,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1912,326300,1910,170
14,WARREN PL,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1611,400200,1905,248
15,GREENVILLE ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,3071,623300,1910,202
19,GREENVILLE ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1652,276800,1900,167
25,GREENVILLE ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,3299,891800,1890,270
19,WARREN PL,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1896,461800,1910,243
23,KEARSARGE AV,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2493,670000,1890,268
5,WINTHROP ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,2800,704900,1900,251
13,WINTHROP ST,Roxbury,2119,Single Fam Dwelling,Rm - Row Middle,1968,559000,1890,284
16,MORELAND ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,3169,750200,1897,236
12,MORELAND ST,Roxbury,2119,Single Fam Dwelling,Re - Row End,2140,544100,1890,254
8,MORELAND ST,Roxbury,2119,Single Fam Dwelling,Rm - Row Middle,2176,580100,1890,266
43,WINTHROP ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,2343,519600,1890,221
45,WINTHROP ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,2315,493100,1890,212
46,MORELAND ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,2580,530900,1850,205
44,MORELAND ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,2809,535900,1890,190
6,CLEVELAND ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2884,624200,1910,216
2,CLEVELAND PK,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2096,452500,1910,215
1,ROCKVILLE PK,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1461,471000,1905,322
3,ROCKVILLE PK,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1461,479000,1905,327
5,ROCKVILLE PK,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1482,372900,1905,251
7,ROCKVILLE PK,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1461,402700,1905,275
9,ROCKVILLE PK,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1972,459900,1910,233
11,ROCKVILLE PK,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1825,441700,1880,242
16,ROCKVILLE PK,Roxbury,2119,Single Fam Dwelling,Cv - Conventional,1097,394000,1840,359
41,MORELAND ST,Roxbury,2119,Single Fam Dwelling,Rm - Row Middle,3876,715200,1885,184
28,WHITING ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,3176,959200,1900,302
4,WHITING ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,2460,527900,1905,214
5,WHITING ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1467,417400,1890,284
7,WHITING ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1494,380900,1890,254
11,WHITING ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2046,508800,1890,248
27,WHITING ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,3285,679200,1890,206
8,MONTROSE ST,Roxbury,2119,Single Fam Dwelling,Cp - Cape,2493,675100,1890,270
6,MONTROSE ST,Roxbury,2119,Single Fam Dwelling,Cp - Cape,2495,549900,1890,220
9,MONTROSE ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1707,468200,1890,274
11,MONTROSE ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1776,567600,1900,319
13,MONTROSE ST,Roxbury,2119,Single Fam Dwelling,Cp - Cape,1621,754800,2018,465
15,MONTROSE ST,Roxbury,2119,Single Fam Dwelling,Cp - Cape,1815,610300,1880,336
19,MONTROSE ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2859,478400,1900,167
21,MONTROSE ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,3410,697600,1900,204
23,MONTROSE ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1830,570700,1910,311
25,MONTROSE ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,3171,537600,1910,169
4,ASPEN ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2286,485000,1890,212
2,ASPEN ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,2365,507500,1900,214
29,MONTROSE ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,2242,768700,1900,342
71,MORELAND ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1661,324800,1970,195
73,MORELAND ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1661,324800,1970,195
72,COPELAND ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2464,594800,1900,241
3,DUNREATH ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2290,600800,1900,262
55,COPELAND ST,Roxbury,2119,Single Fam Dwelling,Re - Row End,2431,527200,1890,216
1,COPELAND PL,Roxbury,2119,Single Fam Dwelling,Cv - Conventional,2054,780100,1900,379
62,PERRIN ST,Roxbury,2119,Single Fam Dwelling,Cv - Conventional,2231,804800,1905,360
54,PERRIN ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,3795,636500,1900,167
30,PERRIN ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,3086,959600,1900,310
16,PERRIN ST,Roxbury,2119,Single Fam Dwelling,Rm - Row Middle,2451,567800,1890,231
83,BLUE HILL AV,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,2378,446800,1890,187
85,BLUE HILL AV,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,2378,719400,1890,302
95,BLUE HILL AV,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1374,380300,2004,276
6,MURRAY AV,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1825,465000,1900,254
4,MURRAY AV,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1892,388300,1900,205
1,MURRAY AV,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2059,560400,1900,272
97,BLUE HILL AV,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1804,388600,2004,215
1,IRWIN AV,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1436,363500,2005,253
3,IRWIN AV,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1436,380300,2005,264
5,IRWIN AV,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1436,449400,2005,312
7,IRWIN AV,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1436,485800,2005,338
28,ALASKA ST,Roxbury,2119,Single Fam Dwelling,Rm - Row Middle,3309,624200,1890,188
24,ALASKA ST,Roxbury,2119,Single Fam Dwelling,Re - Row End,3705,656400,1890,177
18,ALASKA ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1486,706400,2017,475
20,ALASKA ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1486,697200,2017,469
19,ALASKA ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,3163,720700,1900,227
21,ALASKA ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,3186,686600,1890,215
139,BLUE HILL AV,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2812,505200,1980,179
76,WAVERLY ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2078,286400,1900,137
62,WAVERLY ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2760,581300,1900,210
60,WAVERLY ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,3155,602800,1900,191
29,WAVERLY ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,2473,808300,2007,326
47,WAVERLY ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,2320,486600,1900,209
49,WAVERLY ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,2306,676500,1900,293
53,WAVERLY ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2829,592200,1905,209
55,WAVERLY ST,Roxbury,2119,Single Fam Dwelling,Re - Row End,2895,600300,1890,207
57,WAVERLY ST,Roxbury,2119,Single Fam Dwelling,Rm - Row Middle,2622,537200,1890,204
59,WAVERLY ST,Roxbury,2119,Single Fam Dwelling,Rm - Row Middle,2658,720600,1890,271
65,WAVERLY ST,Roxbury,2119,Single Fam Dwelling,Rm - Row Middle,2622,559200,1890,213
69,WAVERLY ST,Roxbury,2119,Single Fam Dwelling,Rm - Row Middle,2622,570400,1890,217
71,WAVERLY ST,Roxbury,2119,Single Fam Dwelling,Re - Row End,2658,577700,1890,217
81,WAVERLY ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1634,321700,1996,196
83,WAVERLY ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1634,337800,1996,206
147,BLUE HILL AV,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1486,307300,1998,206
151,BLUE HILL AV,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,3291,566500,1900,172
48,CLIFFORD ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,2194,469100,1900,213
46,CLIFFORD ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,2220,450200,1900,202
18,CLIFFORD ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1921,631800,1890,328
16,CLIFFORD ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2020,516200,1900,255
2,HESTIA PK,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1750,410100,1900,234
20,CIRCUIT ST,Roxbury,2119,Single Fam Dwelling,Rn - Ranch,1755,576800,2001,328
18,CIRCUIT ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2659,608700,1910,228
16,CIRCUIT ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2017,513800,1900,254
10,CIRCUIT ST,Roxbury,2119,Single Fam Dwelling,Cv - Conventional,1730,521400,1900,301
99,WALNUT AV,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1908,445200,1900,233
101,WALNUT AV,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2158,645000,1900,298
1,LESLIE PK,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1869,596100,1890,318
3,LESLIE PK,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1430,559800,1906,391
5,LESLIE PK,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1962,504800,1910,257
71,DALE ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2644,497000,1900,187
51,DALE ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1918,382500,1890,199
1,PICKERING AV,Roxbury,2119,Single Fam Dwelling,Re - Row End,2124,505900,1890,238
5,PICKERING AV,Roxbury,2119,Single Fam Dwelling,Re - Row End,2234,437600,1920,195
7,PICKERING AV,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2576,541000,1905,210
6,PICKERING AV,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1473,456500,1905,309
4,PICKERING AV,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1721,412800,1905,239
2,PICKERING AV,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1690,588000,1905,347
90,WALNUT AV,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,2007,406900,1890,202
7,MILLS ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1533,487800,1905,318
9,MILLS ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1590,416900,1905,262
11,MILLS ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1461,395300,1900,270
13,MILLS ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1808,478200,1905,264
35,DALE ST,Roxbury,2119,Single Fam Dwelling,Rm - Row Middle,3072,525300,1890,170
14,ROCKLAND AV,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2049,428600,2011,209
8,ROCKLAND AV,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,2112,573800,1890,271
6,ROCKLAND AV,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,2096,346300,1890,165
3,SHERMAN ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2001,535300,1905,267
5,SHERMAN ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2355,752400,1905,319
7,SHERMAN ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1890,493500,1905,261
9,SHERMAN ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2088,541700,1905,259
11,SHERMAN ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2286,737700,1905,322
13,SHERMAN ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2088,459200,1905,219
17,DALE ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1388,461700,1998,332
19,DALE ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1388,376400,1998,271
18,MILLS ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1968,449300,1900,228
16,MILLS ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1728,414900,1905,240
14,MILLS ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1592,424800,1905,266
12,MILLS ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1561,365800,1905,234
10,MILLS ST,Roxbury,2119,Single Fam Dwelling,Re - Row End,1532,437600,1890,285
8,MILLS ST,Roxbury,2119,Single Fam Dwelling,Rm - Row Middle,1532,428600,1890,279
6,MILLS ST,Roxbury,2119,Single Fam Dwelling,Rm - Row Middle,1829,521500,1890,285
4,MILLS ST,Roxbury,2119,Single Fam Dwelling,Rm - Row Middle,1594,444800,1890,279
2,MILLS ST,Roxbury,2119,Single Fam Dwelling,Re - Row End,2062,760800,1890,368
324,WARREN ST,Roxbury,2119,Single Fam Dwelling,Rm - Row Middle,1551,493900,1910,318
19,CLIFFORD ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,3175,627800,1850,197
35,CLIFFORD ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,2765,550800,1890,199
41,CLIFFORD ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2151,592400,1900,275
50,WOODBINE ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2552,490600,1900,192
44,WOODBINE ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1790,424100,1890,236
42,WOODBINE ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1790,384000,1890,214
34,WOODBINE ST,Roxbury,2119,Single Fam Dwelling,Cv - Conventional,1932,352800,1900,182
28,WOODBINE ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1940,814300,1890,419
26,WOODBINE ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1940,837400,1890,431
12,WOODBINE ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2104,467300,1900,222
8,WOODBINE ST,Roxbury,2119,Single Fam Dwelling,Cv - Conventional,2808,536500,1890,191
17,WOODBINE ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1624,439600,1905,270
27,WOODBINE ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1722,653200,1890,379
29,WOODBINE ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1428,409800,1890,286
33,WOODBINE ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1782,389200,1910,218
35,WOODBINE ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1770,337700,1910,190
37,WOODBINE ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2010,482100,1900,239
41,WOODBINE ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1708,491900,1905,287
13,SOUTHWOOD ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1590,350000,1998,220
42,EDGEWOOD ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2581,497500,1905,192
50,EDGEWOOD ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1398,324800,1998,232
60,EDGEWOOD ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1398,309300,1998,221
58,EDGEWOOD ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1398,324800,1998,232
19,EDGEWOOD ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1398,298500,1998,213
29,EDGEWOOD ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1430,365300,1970,255
31,EDGEWOOD ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1430,365300,1970,255
96,MAYWOOD ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1560,352200,1996,225
92,MAYWOOD ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1560,352200,1996,225
72,MAYWOOD ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1359,340000,1996,250
66,MAYWOOD ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1359,316200,1996,232
62,MAYWOOD ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1560,352200,1996,225
40,MAYWOOD ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1566,387100,2000,247
38,MAYWOOD ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1566,357900,2000,228
45,MAYWOOD ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1480,327300,1996,221
44,SAVIN ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1560,571900,1996,366
32,SAVIN ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1418,311500,1996,219
30,SAVIN ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1418,317800,1996,224
22,SAVIN ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1404,309800,1998,220
14,SAVIN ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2261,467100,1900,206
15,CATAWBA ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1620,529800,1905,327
17,CATAWBA ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1572,469900,1900,298
19,CATAWBA ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1760,362300,1905,205
21,CATAWBA ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,1760,358400,1905,203
23,CATAWBA ST,Roxbury,2119,Single Fam Dwelling,Sd - Semi-Det,2248,370800,1905,164
37,CATAWBA ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1854,521400,1900,281
39,CATAWBA ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1928,462600,1905,239
43,CATAWBA ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1861,452200,1905,242
10,LAUREL ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2061,402800,1880,195
8,LAUREL ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2016,389700,1900,193
6,LAUREL ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2046,409000,1900,199
48,DALE ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2348,372600,1905,158
38,DALE ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,2253,451300,1900,200
7,ST JAMES ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,1920,682300,1910,355
13,ST JAMES ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,3371,632600,1900,187
27,ST JAMES ST,Roxbury,2119,Single Fam Dwelling,Cl - Colonial,3040,1015400,1905,333
